scenario_id,M1,M2,block_ratio,Q1,Q2,setting,BEL,ABEL,VC,VC_BC,VC_ABEL,HAC_Wald,VCABEL_mcse
ratio_sym_normal_M6_24,6,24,0.25,288,72,symmetric normal,0.9184,0.9194,0.9485,0.9496,0.9496,0.9114,0.00218768919181862
ratio_sym_normal_M8_18,8,18,0.444444444444444,216,96,symmetric normal,0.9271,0.9285,0.9508,0.9513,0.9513,0.915,0.00215240121724552
ratio_sym_normal_M12_12,12,12,1,144,144,symmetric normal,0.9284,0.9301,0.949,0.9498,0.9498,0.9151,0.00218357413430367
ratio_sym_normal_M18_8,18,8,2.25,96,216,symmetric normal,0.9285,0.9301,0.9516,0.9532,0.9532,0.917,0.00211210227025113
ratio_sym_normal_M24_6,24,6,4,72,288,symmetric normal,0.9218,0.9235,0.9482,0.9493,0.9493,0.9143,0.00219384388687983
ratio_asym_normal_M6_24,6,24,0.25,288,72,asymmetric normal,0.929,0.931,0.9452,0.9468,0.9468,0.9031,0.00224432083267968
ratio_asym_normal_M8_18,8,18,0.444444444444444,216,96,asymmetric normal,0.9274,0.9294,0.9456,0.9466,0.9465,0.9068,0.00225028331549607
ratio_asym_normal_M12_12,12,12,1,144,144,asymmetric normal,0.923,0.9244,0.9479,0.948,0.948,0.9091,0.00222027025382047
ratio_asym_normal_M18_8,18,8,2.25,96,216,asymmetric normal,0.9208,0.923,0.9558,0.957,0.957,0.9158,0.00202857092555326
ratio_asym_normal_M24_6,24,6,4,72,288,asymmetric normal,0.8987,0.9016,0.9532,0.9545,0.9545,0.9065,0.0020839805661282
ratio_asym_skew_M6_24,6,24,0.25,288,72,asymmetric skew,0.932,0.9335,0.946,0.9476,0.9476,0.9094,0.00222832313635164
ratio_asym_skew_M8_18,8,18,0.444444444444444,216,96,asymmetric skew,0.9278,0.9287,0.9463,0.9476,0.9476,0.9069,0.00222832313635164
ratio_asym_skew_M12_12,12,12,1,144,144,asymmetric skew,0.9252,0.926,0.947,0.9486,0.9486,0.9128,0.00220812227922278
ratio_asym_skew_M18_8,18,8,2.25,96,216,asymmetric skew,0.9099,0.9119,0.9495,0.9503,0.9503,0.9065,0.00217324434889407
ratio_asym_skew_M24_6,24,6,4,72,288,asymmetric skew,0.9028,0.9041,0.9548,0.956,0.956,0.9067,0.00205095099892708
