"scenario_id","group","N1","N2","M1","M2","model1","p11","p12","model2","p21","p22","innov1","innov2","lrv_sd1","lrv_sd2","effect_c","delta0","L_rule","theory_scope","block_ratio","geom_M","base_id","scenario_no","B","threads","seed","delta_true","L_vc","L_hac1","L_hac2","Q1","Q2","Q","bel_fail","abel_oracle_fail","abel_feasible_fail","abel_oracle_solver_fallback","abel_feasible_solver_fallback","jk_fallback","vc_safeguard","alpha_hat_lt_025","b_true","bhat_mean","bhat_sd","alpha_true","alpha_hat_mean","nu_true","nuhat_mean","nuhat_sd","diff_oracle_mean","diff_oracle_abs_q99","diff_feasible_mean","diff_feasible_abs_q99"
"ratio_sym_normal_M6_24","blockratio_theory",1728,1728,6,24,"ar1",0.6,0,"ar1",0.6,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",0.25,12,"ratio_sym_normal_M6_24",1,10000,7,21260832,0,14,7,7,288,72,360,0,0,0,0,0,0,0,0,4.30122106548816,4.18285128879071,0.482801990802371,2.15061053274408,2.09142564439535,0.812859694309937,0.806086898057701,0.100109797584607,-0.000100683527957953,0.00163972287426405,-8.85100105378048e-05,0.00163640793308102
"ratio_sym_normal_M8_18","blockratio_theory",1728,1728,8,18,"ar1",0.6,0,"ar1",0.6,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",0.444444444444444,12,"ratio_sym_normal_M8_18",2,10000,7,22260835,0,14,7,7,216,96,312,0,0,0,0,0,0,0,0,3.04008381034197,2.98971834652953,0.248954675449763,1.52004190517099,1.49485917326477,0.833607278033804,0.831703549350179,0.0772317364390782,-5.94944184284704e-05,0.00089830400440214,-5.45818515980577e-05,0.000855864270189592
"ratio_sym_normal_M12_12","blockratio_theory",1728,1728,12,12,"ar1",0.6,0,"ar1",0.6,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",1,12,"ratio_sym_normal_M12_12",3,10000,7,23260838,0,14,7,7,144,144,288,0,0,0,0,0,0,0,0,2.5,2.47488868456104,0.135076638847304,1.25,1.23744434228052,0.845007013530723,0.844365644845431,0.0635782704860895,-4.36414672334086e-05,0.000635772686310342,-4.15138310059372e-05,0.000615205092435141
"ratio_sym_normal_M18_8","blockratio_theory",1728,1728,18,8,"ar1",0.6,0,"ar1",0.6,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",2.25,12,"ratio_sym_normal_M18_8",4,10000,7,24260841,0,14,7,7,96,216,312,0,0,0,0,0,0,0,0,3.04008381034197,2.9905172729904,0.251823286277105,1.52004190517099,1.4952586364952,0.833607278033804,0.831802808292722,0.0750317127981286,-5.35803612010312e-05,0.00085353138997258,-4.85759508390369e-05,0.000799202895110108
"ratio_sym_normal_M24_6","blockratio_theory",1728,1728,24,6,"ar1",0.6,0,"ar1",0.6,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",4,12,"ratio_sym_normal_M24_6",5,10000,7,25260844,0,14,7,7,72,288,360,0,0,0,0,0,0,0,0,4.30122106548816,4.17991436332988,0.481083386190146,2.15061053274408,2.08995718166494,0.812859694309937,0.809357670034671,0.100697022889109,-8.82304907050775e-05,0.00166652761866275,-7.53230631547703e-05,0.00160297389328115
"ratio_asym_normal_M6_24","blockratio_theory",1728,1728,6,24,"ar1",0.2,0,"ar1",0.8,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",0.25,12,"ratio_asym_normal_M6_24",6,10000,7,26260847,0,14,7,7,288,72,360,0,0,0,0,0,0,0,0,3.72462051335061,3.63812475569904,0.374704927248937,1.86231025667531,1.81906237784952,0.874354505693633,0.885638751583795,0.122219288410872,-6.926639690791e-05,0.00107408823014505,-6.13205711093718e-05,0.0010283737767164
"ratio_asym_normal_M8_18","blockratio_theory",1728,1728,8,18,"ar1",0.2,0,"ar1",0.8,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",0.444444444444444,12,"ratio_asym_normal_M8_18",7,10000,7,27260850,0,14,7,7,216,96,312,0,0,0,0,0,0,0,0,2.79017243564047,2.75222673078612,0.190571603973212,1.39508621782023,1.37611336539306,0.853926718679869,0.86672266560481,0.0896372884075177,-5.04505302898493e-05,0.000736851841573575,-4.72857667899509e-05,0.000709171475236767
"ratio_asym_normal_M12_12","blockratio_theory",1728,1728,12,12,"ar1",0.2,0,"ar1",0.8,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",1,12,"ratio_asym_normal_M12_12",8,10000,7,28260853,0,14,7,7,144,144,288,0,0,0,0,0,0,0,0,2.51832404024951,2.49318862392535,0.150358341300287,1.25916202012475,1.24659431196268,0.81132071339449,0.825417733734094,0.0632959143892537,-4.68166261017008e-05,0.000761348159110811,-4.40486846274544e-05,0.000714609291303899
"ratio_asym_normal_M18_8","blockratio_theory",1728,1728,18,8,"ar1",0.2,0,"ar1",0.8,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",2.25,12,"ratio_asym_normal_M18_8",9,10000,7,29260856,0,14,7,7,96,216,312,0,0,0,0,0,0,0,0,3.37608060314912,3.31847116205204,0.336552577468328,1.68804030157456,1.65923558102602,0.758318154631727,0.752512068428743,0.0598711171121661,-6.96315934474189e-05,0.00136281312385159,-6.17334640424767e-05,0.00135204658145326
"ratio_asym_normal_M24_6","blockratio_theory",1728,1728,24,6,"ar1",0.2,0,"ar1",0.8,0,"normal","normal",1,1,0,0,"loglog","unequal_blocks_main_theorem",4,12,"ratio_asym_normal_M24_6",10,10000,7,30260859,0,14,7,7,72,288,360,0,0,0,0,0,0,0,0,5.04875295428497,4.88074919889161,0.629607419117832,2.52437647714248,2.4403745994458,0.719050840865737,0.676620568154766,0.0753598804865773,-0.000135240225506547,0.00337245716525251,-0.000107775202507335,0.00316473485285532
