"phi","value","curve","panel"
-0.9995,1.04652464228558,"Variance calibration","Even M"
-0.999417014178482,1.05404989982961,"Variance calibration","Even M"
-0.999334028356964,1.06151692152284,"Variance calibration","Even M"
-0.999251042535446,1.06892494927668,"Variance calibration","Even M"
-0.999168056713928,1.07627326773275,"Variance calibration","Even M"
-0.99908507089241,1.08356120387012,"Variance calibration","Even M"
-0.999002085070892,1.09078812656568,"Variance calibration","Even M"
-0.998919099249374,1.09795344604798,"Variance calibration","Even M"
-0.998836113427857,1.10505661343042,"Variance calibration","Even M"
-0.998753127606339,1.11209712008623,"Variance calibration","Even M"
-0.998670141784821,1.1190744970627,"Variance calibration","Even M"
-0.998587155963303,1.1259883144594,"Variance calibration","Even M"
-0.998504170141785,1.13283818073185,"Variance calibration","Even M"
-0.998421184320267,1.13962374202362,"Variance calibration","Even M"
-0.998338198498749,1.14634468142559,"Variance calibration","Even M"
-0.998255212677231,1.15300071825438,"Variance calibration","Even M"
-0.998172226855713,1.159591607281,"Variance calibration","Even M"
-0.998089241034195,1.16611713794447,"Variance calibration","Even M"
-0.998006255212677,1.17257713355578,"Variance calibration","Even M"
-0.997923269391159,1.17897145050253,"Variance calibration","Even M"
-0.997840283569641,1.18529997739482,"Variance calibration","Even M"
-0.997757297748123,1.19156263425666,"Variance calibration","Even M"
-0.997674311926606,1.19775937166585,"Variance calibration","Even M"
-0.997591326105088,1.20389016990763,"Variance calibration","Even M"
-0.99750834028357,1.20995503811919,"Variance calibration","Even M"
-0.997425354462052,1.21595401342472,"Variance calibration","Even M"
-0.997342368640534,1.22188716007755,"Variance calibration","Even M"
-0.997259382819016,1.22775456859658,"Variance calibration","Even M"
-0.997176396997498,1.23355635489873,"Variance calibration","Even M"
-0.99709341117598,1.23929265944369,"Variance calibration","Even M"
-0.997010425354462,1.2449636463776,"Variance calibration","Even M"
-0.996927439532944,1.25056950267647,"Variance calibration","Even M"
-0.996844453711426,1.25611043730324,"Variance calibration","Even M"
-0.996761467889908,1.26158668036753,"Variance calibration","Even M"
-0.99667848206839,1.26699848229383,"Variance calibration","Even M"
-0.996595496246872,1.27234611299609,"Variance calibration","Even M"
-0.996512510425354,1.27762986107552,"Variance calibration","Even M"
-0.996429524603837,1.28285003300342,"Variance calibration","Even M"
-0.996346538782319,1.28800695234328,"Variance calibration","Even M"
-0.996263552960801,1.29310095895886,"Variance calibration","Even M"
-0.996180567139283,1.29813240826554,"Variance calibration","Even M"
-0.996097581317765,1.30310167046111,"Variance calibration","Even M"
-0.996014595496247,1.30800912979371,"Variance calibration","Even M"
-0.995931609674729,1.31285518383792,"Variance calibration","Even M"
-0.995848623853211,1.3176402427829,"Variance calibration","Even M"
-0.995765638031693,1.32236472873838,"Variance calibration","Even M"
-0.995682652210175,1.32702907505271,"Variance calibration","Even M"
-0.995599666388657,1.33163372565289,"Variance calibration","Even M"
-0.995516680567139,1.33617913439149,"Variance calibration","Even M"
-0.995433694745621,1.34066576441732,"Variance calibration","Even M"
-0.995350708924103,1.34509408756188,"Variance calibration","Even M"
-0.995267723102585,1.34946458373298,"Variance calibration","Even M"
-0.995184737281068,1.35377774033797,"Variance calibration","Even M"
-0.99510175145955,1.35803405171538,"Variance calibration","Even M"
-0.995018765638032,1.36223401857884,"Variance calibration","Even M"
-0.994935779816514,1.36637814749346,"Variance calibration","Even M"
-0.994852793994996,1.37046695034842,"Variance calibration","Even M"
-0.994769808173478,1.37450094386251,"Variance calibration","Even M"
-0.99468682235196,1.37848064909288,"Variance calibration","Even M"
-0.994603836530442,1.38240659097099,"Variance calibration","Even M"
-0.994520850708924,1.38627929784613,"Variance calibration","Even M"
-0.994437864887406,1.39009930104859,"Variance calibration","Even M"
-0.994354879065888,1.39386713446764,"Variance calibration","Even M"
-0.99427189324437,1.39758333414427,"Variance calibration","Even M"
-0.994188907422852,1.401248437879,"Variance calibration","Even M"
-0.994105921601334,1.40486298485919,"Variance calibration","Even M"
-0.994022935779817,1.40842751529012,"Variance calibration","Even M"
-0.993939949958299,1.41194257004971,"Variance calibration","Even M"
-0.993856964136781,1.41540869035646,"Variance calibration","Even M"
-0.993773978315263,1.4188264174503,"Variance calibration","Even M"
-0.993690992493745,1.42219629227998,"Variance calibration","Even M"
-0.993608006672227,1.42551885521735,"Variance calibration","Even M"
-0.993525020850709,1.42879464577122,"Variance calibration","Even M"
-0.993442035029191,1.43202420232547,"Variance calibration","Even M"
-0.993359049207673,1.43520806187786,"Variance calibration","Even M"
-0.993276063386155,1.43834675980117,"Variance calibration","Even M"
-0.993193077564637,1.44144082960852,"Variance calibration","Even M"
-0.993110091743119,1.44449080273896,"Variance calibration","Even M"
-0.993027105921601,1.44749720834059,"Variance calibration","Even M"
-0.992944120100083,1.45046057307812,"Variance calibration","Even M"
-0.992861134278565,1.4533814209462,"Variance calibration","Even M"
-0.992778148457048,1.45626027308577,"Variance calibration","Even M"
-0.99269516263553,1.45909764762506,"Variance calibration","Even M"
-0.992612176814012,1.461894059513,"Variance calibration","Even M"
-0.992529190992494,1.46465002037885,"Variance calibration","Even M"
-0.992446205170976,1.46736603838667,"Variance calibration","Even M"
-0.992363219349458,1.47004261810831,"Variance calibration","Even M"
-0.99228023352794,1.47268026039791,"Variance calibration","Even M"
-0.992197247706422,1.47527946228,"Variance calibration","Even M"
-0.992114261884904,1.47784071684225,"Variance calibration","Even M"
-0.992031276063386,1.48036451313671,"Variance calibration","Even M"
-0.991948290241868,1.48285133608695,"Variance calibration","Even M"
-0.99186530442035,1.48530166640707,"Variance calibration","Even M"
-0.991782318598832,1.4877159805195,"Variance calibration","Even M"
-0.991699332777314,1.49009475048655,"Variance calibration","Even M"
-0.991616346955797,1.49243844394504,"Variance calibration","Even M"
-0.991533361134279,1.49474752404665,"Variance calibration","Even M"
-0.991450375312761,1.49702244940719,"Variance calibration","Even M"
-0.991367389491243,1.49926367405386,"Variance calibration","Even M"
-0.991284403669725,1.50147164738904,"Variance calibration","Even M"
-0.991201417848207,1.50364681414931,"Variance calibration","Even M"
-0.991118432026689,1.50578961437293,"Variance calibration","Even M"
-0.991035446205171,1.50790048337528,"Variance calibration","Even M"
-0.990952460383653,1.50997985172275,"Variance calibration","Even M"
-0.990869474562135,1.51202814521488,"Variance calibration","Even M"
-0.990786488740617,1.5140457848707,"Variance calibration","Even M"
-0.990703502919099,1.51603318691475,"Variance calibration","Even M"
-0.990620517097581,1.51799076277288,"Variance calibration","Even M"
-0.990537531276063,1.51991891906687,"Variance calibration","Even M"
-0.990454545454545,1.5218180576152,"Variance calibration","Even M"
-0.990371559633028,1.52368857543476,"Variance calibration","Even M"
-0.99028857381151,1.52553086474729,"Variance calibration","Even M"
-0.990205587989992,1.52734531298763,"Variance calibration","Even M"
-0.990122602168474,1.52913230281602,"Variance calibration","Even M"
-0.990039616346956,1.53089221213132,"Variance calibration","Even M"
-0.989956630525438,1.53262541408806,"Variance calibration","Even M"
-0.98987364470392,1.53433227711408,"Variance calibration","Even M"
-0.989790658882402,1.53601316493337,"Variance calibration","Even M"
-0.989707673060884,1.53766843658695,"Variance calibration","Even M"
-0.989624687239366,1.5392984464589,"Variance calibration","Even M"
-0.989541701417848,1.5409035443042,"Variance calibration","Even M"
-0.98945871559633,1.54248407527437,"Variance calibration","Even M"
-0.989375729774812,1.5440403799485,"Variance calibration","Even M"
-0.989292743953294,1.54557279436726,"Variance calibration","Even M"
-0.989209758131777,1.54708165006162,"Variance calibration","Even M"
-0.989126772310259,1.54856727409057,"Variance calibration","Even M"
-0.989043786488741,1.55002998907448,"Variance calibration","Even M"
-0.988960800667223,1.55147011323087,"Variance calibration","Even M"
-0.988877814845705,1.55288796041437,"Variance calibration","Even M"
-0.988794829024187,1.55428384015348,"Variance calibration","Even M"
-0.988711843202669,1.55565805769061,"Variance calibration","Even M"
-0.988628857381151,1.55701091402037,"Variance calibration","Even M"
-0.988545871559633,1.55834270593373,"Variance calibration","Even M"
-0.988462885738115,1.55965372605666,"Variance calibration","Even M"
-0.988379899916597,1.56094426289223,"Variance calibration","Even M"
-0.988296914095079,1.56221460086514,"Variance calibration","Even M"
-0.988213928273561,1.5634650203637,"Variance calibration","Even M"
-0.988130942452043,1.5646957977823,"Variance calibration","Even M"
-0.988047956630525,1.56590720556729,"Variance calibration","Even M"
-0.987964970809008,1.56709951225941,"Variance calibration","Even M"
-0.98788198498749,1.56827298253913,"Variance calibration","Even M"
-0.987798999165972,1.56942787727055,"Variance calibration","Even M"
-0.987716013344454,1.57056445354722,"Variance calibration","Even M"
-0.987633027522936,1.57168296473589,"Variance calibration","Even M"
-0.987550041701418,1.57278366052255,"Variance calibration","Even M"
-0.9874670558799,1.57386678695511,"Variance calibration","Even M"
-0.987384070058382,1.57493258649343,"Variance calibration","Even M"
-0.987301084236864,1.57598129804885,"Variance calibration","Even M"
-0.987218098415346,1.57701315703161,"Variance calibration","Even M"
-0.987135112593828,1.57802839539797,"Variance calibration","Even M"
-0.98705212677231,1.57902724168957,"Variance calibration","Even M"
-0.986969140950792,1.58000992108389,"Variance calibration","Even M"
-0.986886155129274,1.58097665543524,"Variance calibration","Even M"
-0.986803169307756,1.58192766331949,"Variance calibration","Even M"
-0.986720183486239,1.58286316007994,"Variance calibration","Even M"
-0.986637197664721,1.58378335786896,"Variance calibration","Even M"
