"boundary","parity","method","x","first_Q_in_4_6_band","stable_Q_in_4_6_band_on_grid"
"positive","not_applicable","Raw",0.25,,
"positive","not_applicable","Variance",0.25,200,200
"positive","not_applicable","Bartlett",0.25,,
"positive","not_applicable","Combined",0.25,200,200
"positive","not_applicable","Raw",0.5,,
"positive","not_applicable","Variance",0.5,100,100
"positive","not_applicable","Bartlett",0.5,,
"positive","not_applicable","Combined",0.5,50,50
"positive","not_applicable","Raw",1,,
"positive","not_applicable","Variance",1,50,50
"positive","not_applicable","Bartlett",1,,
"positive","not_applicable","Combined",1,50,50
"positive","not_applicable","Raw",2,,
"positive","not_applicable","Variance",2,50,50
"positive","not_applicable","Bartlett",2,,
"positive","not_applicable","Combined",2,30,30
"positive","not_applicable","Raw",3,,
"positive","not_applicable","Variance",3,50,50
"positive","not_applicable","Bartlett",3,,
"positive","not_applicable","Combined",3,30,30
"positive","not_applicable","Raw",4,,
"positive","not_applicable","Variance",4,50,50
"positive","not_applicable","Bartlett",4,,
"positive","not_applicable","Combined",4,20,20
"positive","not_applicable","Raw",6,,
"positive","not_applicable","Variance",6,30,30
"positive","not_applicable","Bartlett",6,,
"positive","not_applicable","Combined",6,20,20
"positive","not_applicable","Raw",8,,
"positive","not_applicable","Variance",8,30,30
"positive","not_applicable","Bartlett",8,,
"positive","not_applicable","Combined",8,20,20
"positive","not_applicable","Raw",12,,
"positive","not_applicable","Variance",12,30,30
"positive","not_applicable","Bartlett",12,100,
"positive","not_applicable","Combined",12,30,30
"negative","even","Raw",0.25,10,
"negative","even","Variance",0.25,50,50
"negative","even","Bartlett",0.25,8,
"negative","even","Combined",0.25,15,15
"negative","even","Raw",0.5,10,
"negative","even","Variance",0.5,30,30
"negative","even","Bartlett",0.5,8,
"negative","even","Combined",0.5,20,20
"negative","even","Raw",1,10,
"negative","even","Variance",1,50,50
"negative","even","Bartlett",1,8,
"negative","even","Combined",1,15,15
"negative","even","Raw",2,10,
"negative","even","Variance",2,50,50
"negative","even","Bartlett",2,8,
"negative","even","Combined",2,20,20
"negative","even","Raw",3,15,
"negative","even","Variance",3,30,30
"negative","even","Bartlett",3,10,
"negative","even","Combined",3,20,20
"negative","even","Raw",4,15,
"negative","even","Variance",4,50,50
"negative","even","Bartlett",4,10,
"negative","even","Combined",4,20,20
"negative","even","Raw",6,15,
"negative","even","Variance",6,30,30
"negative","even","Bartlett",6,15,
"negative","even","Combined",6,20,20
"negative","even","Raw",8,20,
"negative","even","Variance",8,50,50
"negative","even","Bartlett",8,15,
"negative","even","Combined",8,20,20
"negative","even","Raw",12,30,30
"negative","even","Variance",12,50,50
"negative","even","Bartlett",12,15,15
"negative","even","Combined",12,30,30
"negative","odd","Raw",0.25,,
"negative","odd","Variance",0.25,200,200
"negative","odd","Bartlett",0.25,,
"negative","odd","Combined",0.25,8,50
"negative","odd","Raw",0.5,5,
"negative","odd","Variance",0.5,50,50
"negative","odd","Bartlett",0.5,,
"negative","odd","Combined",0.5,5,5
"negative","odd","Raw",1,6,
"negative","odd","Variance",1,50,50
"negative","odd","Bartlett",1,5,
"negative","odd","Combined",1,15,15
"negative","odd","Raw",2,10,
"negative","odd","Variance",2,50,50
"negative","odd","Bartlett",2,8,
"negative","odd","Combined",2,20,20
"negative","odd","Raw",3,15,
"negative","odd","Variance",3,30,30
"negative","odd","Bartlett",3,10,
"negative","odd","Combined",3,15,15
"negative","odd","Raw",4,15,
"negative","odd","Variance",4,50,50
"negative","odd","Bartlett",4,10,
"negative","odd","Combined",4,20,20
"negative","odd","Raw",6,15,
"negative","odd","Variance",6,30,30
"negative","odd","Bartlett",6,15,
"negative","odd","Combined",6,20,20
"negative","odd","Raw",8,20,
"negative","odd","Variance",8,50,50
"negative","odd","Bartlett",8,15,
"negative","odd","Combined",8,20,20
"negative","odd","Raw",12,30,30
"negative","odd","Variance",12,50,50
"negative","odd","Bartlett",12,15,15
"negative","odd","Combined",12,30,30
