"boundary","parity","method","Q","first_x_in_4_6_band","stable_x_in_4_6_band_on_grid"
"positive","not_applicable","Raw",5,,
"positive","not_applicable","Variance",5,,
"positive","not_applicable","Bartlett",5,,
"positive","not_applicable","Combined",5,,
"positive","not_applicable","Raw",6,,
"positive","not_applicable","Variance",6,,
"positive","not_applicable","Bartlett",6,,
"positive","not_applicable","Combined",6,,
"positive","not_applicable","Raw",8,,
"positive","not_applicable","Variance",8,,
"positive","not_applicable","Bartlett",8,,
"positive","not_applicable","Combined",8,,
"positive","not_applicable","Raw",10,,
"positive","not_applicable","Variance",10,,
"positive","not_applicable","Bartlett",10,,
"positive","not_applicable","Combined",10,,
"positive","not_applicable","Raw",15,,
"positive","not_applicable","Variance",15,,
"positive","not_applicable","Bartlett",15,,
"positive","not_applicable","Combined",15,,
"positive","not_applicable","Raw",20,,
"positive","not_applicable","Variance",20,,
"positive","not_applicable","Bartlett",20,,
"positive","not_applicable","Combined",20,4,
"positive","not_applicable","Raw",30,,
"positive","not_applicable","Variance",30,6,6
"positive","not_applicable","Bartlett",30,,
"positive","not_applicable","Combined",30,2,2
"positive","not_applicable","Raw",50,,
"positive","not_applicable","Variance",50,1,1
"positive","not_applicable","Bartlett",50,,
"positive","not_applicable","Combined",50,0.5,0.5
"positive","not_applicable","Raw",100,,
"positive","not_applicable","Variance",100,0.5,0.5
"positive","not_applicable","Bartlett",100,12,12
"positive","not_applicable","Combined",100,0.5,0.5
"positive","not_applicable","Raw",200,,
"positive","not_applicable","Variance",200,0.25,0.25
"positive","not_applicable","Bartlett",200,,
"positive","not_applicable","Combined",200,0.25,0.25
"negative","even","Raw",5,,
"negative","even","Variance",5,,
"negative","even","Bartlett",5,,
"negative","even","Combined",5,,
"negative","even","Raw",6,,
"negative","even","Variance",6,,
"negative","even","Bartlett",6,,
"negative","even","Combined",6,,
"negative","even","Raw",8,,
"negative","even","Variance",8,,
"negative","even","Bartlett",8,0.25,
"negative","even","Combined",8,,
"negative","even","Raw",10,0.25,
"negative","even","Variance",10,,
"negative","even","Bartlett",10,0.25,
"negative","even","Combined",10,,
"negative","even","Raw",15,2,
"negative","even","Variance",15,,
"negative","even","Bartlett",15,4,4
"negative","even","Combined",15,0.25,
"negative","even","Raw",20,3,
"negative","even","Variance",20,,
"negative","even","Bartlett",20,6,6
"negative","even","Combined",20,0.25,
"negative","even","Raw",30,6,6
"negative","even","Variance",30,0.5,
"negative","even","Bartlett",30,8,8
"negative","even","Combined",30,0.25,0.25
"negative","even","Raw",50,8,8
"negative","even","Variance",50,0.25,0.25
"negative","even","Bartlett",50,8,8
"negative","even","Combined",50,0.25,0.25
"negative","even","Raw",100,12,12
"negative","even","Variance",100,0.25,0.25
"negative","even","Bartlett",100,12,12
"negative","even","Combined",100,0.25,0.25
"negative","even","Raw",200,12,12
"negative","even","Variance",200,0.25,0.25
"negative","even","Bartlett",200,12,12
"negative","even","Combined",200,0.25,0.25
"negative","odd","Raw",5,0.5,
"negative","odd","Variance",5,,
"negative","odd","Bartlett",5,1,
"negative","odd","Combined",5,0.5,
"negative","odd","Raw",6,1,
"negative","odd","Variance",6,,
"negative","odd","Bartlett",6,,
"negative","odd","Combined",6,0.5,
"negative","odd","Raw",8,,
"negative","odd","Variance",8,,
"negative","odd","Bartlett",8,2,
"negative","odd","Combined",8,0.25,
"negative","odd","Raw",10,2,
"negative","odd","Variance",10,,
"negative","odd","Bartlett",10,3,
"negative","odd","Combined",10,0.25,
"negative","odd","Raw",15,3,
"negative","odd","Variance",15,,
"negative","odd","Bartlett",15,4,4
"negative","odd","Combined",15,0.25,
"negative","odd","Raw",20,4,
"negative","odd","Variance",20,,
"negative","odd","Bartlett",20,6,6
"negative","odd","Combined",20,0.5,
"negative","odd","Raw",30,6,6
"negative","odd","Variance",30,3,
"negative","odd","Bartlett",30,8,8
"negative","odd","Combined",30,0.5,0.5
"negative","odd","Raw",50,8,8
"negative","odd","Variance",50,0.5,0.5
"negative","odd","Bartlett",50,8,8
"negative","odd","Combined",50,0.25,0.25
"negative","odd","Raw",100,12,12
"negative","odd","Variance",100,0.5,0.5
"negative","odd","Bartlett",100,12,12
"negative","odd","Combined",100,0.25,0.25
"negative","odd","Raw",200,12,12
"negative","odd","Variance",200,0.25,0.25
"negative","odd","Bartlett",200,12,12
"negative","odd","Combined",200,0.25,0.25
