"boundary","parity","x","Q","method","scale","nu","theta_block","theta_bartlett","aG_over_N","bartlett_multiplier","rejection","coverage","mcse","q95","q95_over_chisq","hull_failure","in_4_6_band","reps","seed"
"positive","not_applicable",0.25,5,"Raw",1,0.268411235462916,0.778800783071405,0.849440333766539,0.604676458876809,0.395323541123191,0.66815,0.33185,0.00332960641442799,Inf,Inf,0.4845,FALSE,20000,2608161
"positive","not_applicable",0.25,5,"Variance",0.268411235462916,0.268411235462916,0.778800783071405,0.849440333766539,0.604676458876809,0.395323541123191,0.52365,0.47635,0.0035315766840039,Inf,Inf,0.4845,FALSE,20000,2608161
"positive","not_applicable",0.25,5,"Bartlett",0.395323541123191,0.268411235462916,0.778800783071405,0.849440333766539,0.604676458876809,0.395323541123191,0.55775,0.44225,0.00351187227486992,Inf,Inf,0.4845,FALSE,20000,2608161
"positive","not_applicable",0.25,5,"Combined",0.106109280080451,0.268411235462916,0.778800783071405,0.849440333766539,0.604676458876809,0.395323541123191,0.4867,0.5133,0.00353428288341497,Inf,Inf,0.4845,FALSE,20000,2608161
"positive","not_applicable",0.25,6,"Raw",1,0.238967627063099,0.778800783071405,0.849440333766539,0.465643650556127,0.534356349443873,0.6515,0.3485,0.00336933042309596,Inf,Inf,0.41355,FALSE,20000,2608162
"positive","not_applicable",0.25,6,"Variance",0.238967627063099,0.238967627063099,0.778800783071405,0.849440333766539,0.465643650556127,0.534356349443873,0.4645,0.5355,0.00352661133384443,Inf,Inf,0.41355,FALSE,20000,2608162
"positive","not_applicable",0.25,6,"Bartlett",0.534356349443873,0.238967627063099,0.778800783071405,0.849440333766539,0.465643650556127,0.534356349443873,0.56255,0.43745,0.00350775923845979,Inf,Inf,0.41355,FALSE,20000,2608162
"positive","not_applicable",0.25,6,"Combined",0.127693868832703,0.238967627063099,0.778800783071405,0.849440333766539,0.465643650556127,0.534356349443873,0.42575,0.57425,0.00349633334723679,Inf,Inf,0.41355,FALSE,20000,2608162
"positive","not_applicable",0.25,8,"Raw",1,0.202941164582146,0.778800783071405,0.849440333766539,0.302803407780783,0.697196592219217,0.62585,0.37415,0.0034217084731169,Inf,Inf,0.3004,FALSE,20000,2608163
"positive","not_applicable",0.25,8,"Variance",0.202941164582146,0.202941164582146,0.778800783071405,0.849440333766539,0.302803407780783,0.697196592219217,0.37455,0.62545,0.00342244282275102,Inf,Inf,0.3004,FALSE,20000,2608163
"positive","not_applicable",0.25,8,"Bartlett",0.697196592219217,0.202941164582146,0.778800783071405,0.849440333766539,0.302803407780783,0.697196592219217,0.56735,0.43265,0.00350331255742333,Inf,Inf,0.3004,FALSE,20000,2608163
"positive","not_applicable",0.25,8,"Combined",0.141489888367672,0.202941164582146,0.778800783071405,0.849440333766539,0.302803407780783,0.697196592219217,0.34035,0.65965,0.00335046174056651,Inf,Inf,0.3004,FALSE,20000,2608163
"positive","not_applicable",0.25,10,"Raw",1,0.182043209413248,0.778800783071405,0.849440333766539,0.21395948576998,0.78604051423002,0.61575,0.38425,0.00343949078716603,Inf,Inf,0.2264,FALSE,20000,2608164
"positive","not_applicable",0.25,10,"Variance",0.182043209413248,0.182043209413248,0.778800783071405,0.849440333766539,0.21395948576998,0.78604051423002,0.31865,0.68135,0.00329478510300748,Inf,Inf,0.2264,FALSE,20000,2608164
