regime,Q,M,innovation,rejection,hull_finite,hull_limit,KS
Positive,10,100,standardized t5,0.0505,0.0326,0.0312,0.0099
Positive,10,100,centered chi-square(1),0.0505,0.0297,0.0312,0.0057
Positive,10,100,centered exponential,0.0515,0.0327,0.0312,0.0059
"Negative, even M",10,100,standardized t5,0.0515,0.0007,0.0006,0.0048
"Negative, even M",10,100,centered chi-square(1),0.0504,0.0008,0.0006,0.0061
"Negative, even M",10,100,centered exponential,0.0506,0.0006,0.0006,0.0044
"Negative, odd M, even Q",10,101,standardized t5,0.0515,0.0002,0.0002,0.0034
"Negative, odd M, even Q",10,101,centered chi-square(1),0.0525,0.0002,0.0002,0.0045
"Negative, odd M, even Q",10,101,centered exponential,0.0515,0.0002,0.0002,0.0076
"Negative, odd M, odd Q",7,101,standardized t5,0.0496,0.0033,0.0032,0.0083
"Negative, odd M, odd Q",7,101,centered chi-square(1),0.049,0.0036,0.0032,0.0041
"Negative, odd M, odd Q",7,101,centered exponential,0.0498,0.0034,0.0032,0.0098
