"date","year_month","vix","log_vix"
1990-01-01,"1990-01",23.3472727272727,3.15048017760476
1990-02-01,"1990-02",23.2626315789474,3.14684827822093
1990-03-01,"1990-03",20.0622727272727,2.99884107259044
1990-04-01,"1990-04",21.4035,3.0635544600566
1990-05-01,"1990-05",18.0977272727273,2.89578636534514
1990-06-01,"1990-06",16.822380952381,2.82271019936521
1990-07-01,"1990-07",18.3928571428571,2.91196239048853
1990-08-01,"1990-08",28.1752173913043,3.33844277564778
1990-09-01,"1990-09",29.1073684210526,3.37099135247057
1990-10-01,"1990-10",29.625652173913,3.38864061352229
1990-11-01,"1990-11",24.8857142857143,3.21429391536309
1990-12-01,"1990-12",23.363,3.15115357437182
1991-01-01,"1991-01",27.4290909090909,3.31160416218706
1991-02-01,"1991-02",21.5984210526316,3.07262021260302
1991-03-01,"1991-03",17.7442105263158,2.87605929518572
1991-04-01,"1991-04",17.3727272727273,2.85490157844786
1991-05-01,"1991-05",16.9322727272727,2.82922142973854
1991-06-01,"1991-06",17.135,2.84112315532657
1991-07-01,"1991-07",17.2940909090909,2.8503648772083
1991-08-01,"1991-08",15.6813636363636,2.75247297774571
1991-09-01,"1991-09",16.9565,2.83065124114244
1991-10-01,"1991-10",16.3639130434783,2.79507848616146
1991-11-01,"1991-11",17.7735,2.87770858394277
1991-12-01,"1991-12",18.347619047619,2.90949981390869
1992-01-01,"1992-01",17.6831818181818,2.87261400810909
1992-02-01,"1992-02",17.4773684210526,2.8609068108992
1992-03-01,"1992-03",17.5204545454545,2.86336902954696
1992-04-01,"1992-04",16.5628571428571,2.80716266685627
1992-05-01,"1992-05",15.077,2.71317040379678
1992-06-01,"1992-06",15.2031818181818,2.72150473608927
1992-07-01,"1992-07",13.6018181818182,2.61020347364589
1992-08-01,"1992-08",14.4219047619048,2.66874821480509
1992-09-01,"1992-09",13.6966666666667,2.61715249422721
1992-10-01,"1992-10",17.6368181818182,2.86998865912871
1992-11-01,"1992-11",14.4245,2.66892814974836
1992-12-01,"1992-12",12.1913636363636,2.50072780240193
1993-01-01,"1993-01",12.409,2.51842201579248
1993-02-01,"1993-02",13.7215789473684,2.61896969930356
1993-03-01,"1993-03",13.6060869565217,2.61051726294476
1993-04-01,"1993-04",12.8409523809524,2.55263946848251
1993-05-01,"1993-05",13.606,2.61051087192287
1993-06-01,"1993-06",12.5240909090909,2.52765406222821
1993-07-01,"1993-07",11.5004761904762,2.44238844237942
1993-08-01,"1993-08",11.9286363636364,2.47894192644482
1993-09-01,"1993-09",12.9314285714286,2.55966067171002
1993-10-01,"1993-10",11.8752380952381,2.47445539984502
1993-11-01,"1993-11",14.0838095238095,2.64502587690495
1993-12-01,"1993-12",11.3563636363636,2.42977825961651
1994-01-01,"1994-01",11.2904761904762,2.42395955534794
1994-02-01,"1994-02",13.6442105263158,2.61331529439307
1994-03-01,"1994-03",15.2234782608696,2.72283885857564
1994-04-01,"1994-04",16.4710526315789,2.80160445420427
1994-05-01,"1994-05",13.8971428571429,2.63168326916254
1994-06-01,"1994-06",13.4086363636364,2.59589900410186
1994-07-01,"1994-07",12.4845,2.52448787487212
1994-08-01,"1994-08",11.8891304347826,2.47562457386363
1994-09-01,"1994-09",13.2333333333333,2.58273889902503
1994-10-01,"1994-10",15.2452380952381,2.72426719824139
1994-11-01,"1994-11",16.3838095238095,2.79629362304547
1994-12-01,"1994-12",14.1771428571429,2.65163100976829
1995-01-01,"1995-01",12.2742857142857,2.50750648170524
1995-02-01,"1995-02",11.47,2.43973493114128
1995-03-01,"1995-03",12.1665217391304,2.4986880599971
1995-04-01,"1995-04",12.4426315789474,2.52112860665527
1995-05-01,"1995-05",12.2659090909091,2.50682379570634
1995-06-01,"1995-06",11.8968181818182,2.47627098468602
1995-07-01,"1995-07",12.514,2.52684801757617
1995-08-01,"1995-08",12.7982608695652,2.54930929212925
1995-09-01,"1995-09",12.057,2.48964540413517
1995-10-01,"1995-10",14.3572727272727,2.66425662408359
