"p","logLik","AIC","BIC","converged"
0,-133.234945516887,270.469891033774,278.550400456329,TRUE
1,183.238419778547,-360.476839557095,-348.356075423262,TRUE
2,183.706078242401,-359.412156484801,-343.251137639691,TRUE
3,185.641028204566,-361.282056409133,-341.080782852745,TRUE
4,186.586430055698,-361.172860111395,-336.931331843731,TRUE
5,188.15009987553,-362.30019975106,-334.018416772118,TRUE
6,188.151297408498,-360.302594816997,-327.980557126777,TRUE
7,188.753734975576,-359.507469951152,-323.145177549655,TRUE
8,188.929727035174,-357.859454070347,-317.456906957573,TRUE
9,188.929856649168,-355.859713298336,-311.416911474285,TRUE
10,189.321216065896,-354.642432131792,-306.159375596463,TRUE
11,191.890981711482,-357.781963422965,-305.258652176358,TRUE
12,192.248978270062,-356.497956540123,-299.93439058224,TRUE
