"M","Q","N_eff","phi","x","nu","aG","eta3_data","eta4_data","aK_data","gaussian_bartlett_multiplier","data_bartlett_multiplier","leading_bartlett_multiplier","gaussian_combined_multiplier","data_combined_multiplier"
2,210,420,0.891485020791359,0.217029958417281,0.110806734884025,0.662024825737285,0.53740620239602,0.806005139298318,1.2754930141198,0.998423750414911,0.996963111871143,0.992857142857143,0.110632075814139,0.110470227226258
3,140,420,0.891485020791359,0.325544937625922,0.159253477089373,4.04706458945456,0.520673232334984,0.752673593974273,4.90497436554581,0.99036413192987,0.988321489605843,0.989285714285714,0.157718931594431,0.15739363370188
4,105,420,0.891485020791359,0.434059916834563,0.20422958636267,6.89151214978209,0.505981651219654,0.707519200425882,7.96519397547257,0.983591637738614,0.981035252439351,0.985714285714286,0.200878513325138,0.200356423812886
5,84,420,0.891485020791359,0.542574896043204,0.246015856102259,9.31277708736138,0.492492650697752,0.66753152850414,10.5773575569696,0.977826721220568,0.974815815340549,0.982142857142857,0.240560877940743,0.239820147353027
6,70,420,0.891485020791359,0.651089875251844,0.284868800029669,11.4093871889991,0.479899883142682,0.631428868986959,12.8430660002792,0.972834792407145,0.969421271427907,0.978571428571429,0.277130279940136,0.276157874314904
7,60,420,0.891485020791359,0.759604854460485,0.321022841543423,13.2597853256177,0.468051335233168,0.598509223149896,14.8433994843441,0.968429082558053,0.964658572656324,0.975,0.310887855916076,0.309677436113355
10,42,420,0.891485020791359,1.08514979208641,0.415344869732035,17.8831457018717,0.436170327804078,0.514824295299147,19.8231186621784,0.95742108166221,0.952802098423385,0.964285714285714,0.397659934441695,0.39574146345007
12,35,420,0.891485020791359,1.30217975050369,0.468203424956269,20.5489158290881,0.417473102387016,0.468986837573973,22.6657016896654,0.951074009930743,0.946034043596035,0.957142857142857,0.445296108836466,0.442936379336892
14,30,420,0.891485020791359,1.51920970892097,0.514422559932591,23.0797244325524,0.400494278148966,0.429401346560723,25.3370207466038,0.94504827516059,0.939673760127134,0.95,0.48615415296799,0.483389381186083
15,28,420,0.891485020791359,1.62772468812961,0.53535175017942,24.3245162891742,0.392580973457844,0.411608823387448,26.6409833609745,0.942084485025776,0.936569087235775,0.946428571428571,0.504346577875427,0.501393900015614
20,21,420,0.891485020791359,2.17029958417281,0.622198860088023,30.5794849549099,0.357900761427228,0.338503496210094,33.1105668834763,0.92719170248831,0.921165316944104,0.928571428571429,0.5768976203713,0.573148010155245
21,20,420,0.891485020791359,2.27881456338146,0.636587421186447,31.8564061375026,0.351813860353892,0.326482954442545,34.4180662127895,0.924151413958327,0.918052223302882,0.925,0.58830316539754,0.584420497346866
28,15,420,0.891485020791359,3.03841941784194,0.717035076765511,41.1150975279202,0.315395263335305,0.25953818399704,43.8202064972916,0.902106910647809,0.895666175006449,0.9,0.64684229792705,0.642224064552021
30,14,420,0.891485020791359,3.25544937625922,0.734873511812693,43.8545013718037,0.306647813124252,0.244713281844172,46.5848717865275,0.895584520543324,0.889083638603506,0.892857142857143,0.65814134173676,0.653364015795766
35,12,420,0.891485020791359,3.79802427230243,0.772236505452972,50.8446691864608,0.287293934735122,0.213611089814324,53.6199222006297,0.87894126384176,0.872333518569929,0.875,0.678750530087579,0.673647787969937
42,10,420,0.891485020791359,4.55762912676291,0.811622859383217,60.8794430931722,0.265009100264953,0.180652531518717,63.6899287299399,0.855048945016257,0.848357312547762,0.85,0.693977269666697,0.688546187788676
60,7,420,0.891485020791359,6.51089875251844,0.873434643877609,87.3647381832444,0.224413030027838,0.128247155411769,90.204928684672,0.791988718611323,0.78522636027459,0.785714285714286,0.691750384395365,0.685843906349748
70,6,420,0.891485020791359,7.59604854460485,0.894444532110851,102.272677812164,0.208376447871375,0.110183047728276,105.115933788679,0.756493624256752,0.749723967169812,0.75,0.676641585793172,0.670586503027493
84,5,420,0.891485020791359,9.11525825352582,0.915529785452048,123.242093029955,0.190673754076632,0.0919272802129456,126.085057345076,0.706566445166773,0.699797482511724,0.7,0.646882625951152,0.640685439023842
