"M","Q","N_eff","x","phi","nu","aG","bartlett_multiplier_full","bartlett_multiplier_leading","convex_hull_failure","size_raw","size_vc","size_bartlett","size_combined","size_leading_combined","mcse_raw","mcse_vc","mcse_bartlett","mcse_combined","mcse_leading_combined","reps","green_raw","green_vc","green_bartlett","green_combined"
2,210,420,0.217029958417281,0.891485020791359,0.110806734884025,0.662024825737285,0.998423750414911,0.992857142857143,0,0.518966666666667,0.0524666666666667,0.518566666666667,0.0523333333333333,0.0516,0.00288467367048427,0.00128729581624369,0.00288476041113116,0.00128574952920538,0.00127720319448395,30000,FALSE,TRUE,FALSE,TRUE
3,140,420,0.325544937625922,0.891485020791359,0.159253477089373,4.04706458945456,0.99036413192987,0.989285714285714,0,0.446733333333333,0.0561666666666667,0.444733333333333,0.0553666666666667,0.0553,0.00287032322350766,0.00132931024999461,0.00286906253885339,0.00132036862136916,0.00131962002106667,30000,FALSE,TRUE,FALSE,TRUE
4,105,420,0.434059916834563,0.891485020791359,0.20422958636267,6.89151214978209,0.983591637738614,0.985714285714286,0,0.392366666666667,0.0540333333333333,0.388366666666667,0.0519666666666667,0.0521666666666667,0.00281907233888239,0.00130529348197027,0.00281388224634513,0.0012814852349549,0.00128381340227147,30000,FALSE,TRUE,FALSE,TRUE
5,84,420,0.542574896043204,0.891485020791359,0.246015856102259,9.31277708736138,0.977826721220568,0.982142857142857,0,0.345833333333333,0.0538666666666667,0.340666666666667,0.0510333333333333,0.0515,0.00274610414277444,0.00130339363316036,0.0027362558901346,0.00127055017246103,0.0012760322618701,30000,FALSE,TRUE,FALSE,TRUE
6,70,420,0.651089875251844,0.891485020791359,0.284868800029669,11.4093871889991,0.972834792407145,0.978571428571429,0,0.3096,0.0562333333333333,0.302766666666667,0.0528666666666667,0.0535333333333333,0.00266925607613807,0.00133005194830322,0.00265266540308814,0.00129192082087387,0.00129958346603255,30000,FALSE,TRUE,FALSE,TRUE
7,60,420,0.759604854460485,0.891485020791359,0.321022841543423,13.2597853256177,0.968429082558053,0.975,0,0.279733333333333,0.0566666666666667,0.271766666666667,0.0532666666666667,0.0541333333333333,0.00259154134030667,0.00133486023682326,0.00256845962628418,0.00129652521364979,0.0013064317249102,30000,FALSE,TRUE,FALSE,TRUE
10,42,420,1.08514979208641,0.891485020791359,0.415344869732035,17.8831457018717,0.95742108166221,0.964285714285714,0,0.225566666666667,0.0608333333333333,0.216766666666667,0.0555,0.0566666666666667,0.0024130640657026,0.00138000771602781,0.00237892748165281,0.00132186421390398,0.00133486023682326,30000,FALSE,FALSE,FALSE,TRUE
12,35,420,1.30217975050369,0.891485020791359,0.468203424956269,20.5489158290881,0.951074009930743,0.957142857142857,0,0.192833333333333,0.0589,0.1826,0.0522,0.0532,0.00227778136856086,0.00135929871625041,0.0022305249008548,0.00128420091885966,0.0012957592368955,30000,FALSE,TRUE,FALSE,TRUE
14,30,420,1.51920970892097,0.891485020791359,0.514422559932591,23.0797244325524,0.94504827516059,0.95,0,0.1788,0.0626,0.166833333333333,0.0556,0.0562333333333333,0.00221231824112174,0.00139858547587673,0.00215251769038199,0.00132298450482234,0.00133005194830322,30000,FALSE,FALSE,FALSE,TRUE
15,28,420,1.62772468812961,0.891485020791359,0.53535175017942,24.3245162891742,0.942084485025776,0.946428571428571,0,0.171266666666667,0.0621,0.158066666666667,0.0552666666666667,0.0556666666666667,0.00217511988601054,0.00139336032669227,0.00210619400464088,0.00131924551950755,0.00132373069880658,30000,FALSE,FALSE,FALSE,TRUE
20,21,420,2.17029958417281,0.891485020791359,0.622198860088023,30.5794849549099,0.92719170248831,0.928571428571429,0.0000333333333333333,0.148266666666667,0.0708666666666667,0.134533333333333,0.0625666666666667,0.0627333333333333,0.00205169573948171,0.00148149229070131,0.00197006019836582,0.00139823792549634,0.00139997455003323,30000,FALSE,FALSE,FALSE,FALSE
21,20,420,2.27881456338146,0.891485020791359,0.636587421186447,31.8564061375026,0.924151413958327,0.925,0.0000333333333333333,0.146933333333333,0.0709333333333333,0.131833333333333,0.0607333333333333,0.0609,0.00204404769097078,0.0014821357962476,0.001953230704547,0.00137894640402924,0.00138071467001694,30000,FALSE,FALSE,FALSE,FALSE
28,15,420,3.03841941784194,0.891485020791359,0.717035076765511,41.1150975279202,0.902106910647809,0.9,0.0002,0.134133333333333,0.0827666666666667,0.116033333333333,0.0697666666666667,0.0695,0.00196758381627672,0.00159076863555071,0.00184905019662248,0.00147081926024114,0.00146821603769109,30000,FALSE,FALSE,FALSE,FALSE
30,14,420,3.25544937625922,0.891485020791359,0.734873511812693,43.8545013718037,0.895584520543324,0.892857142857143,0.000366666666666667,0.134866666666667,0.0876,0.115466666666667,0.0734666666666667,0.0730666666666667,0.00197211940890073,0.00163224017840513,0.00184512073277564,0.00150631244606993,0.00150253040888683,30000,FALSE,FALSE,FALSE,FALSE
35,12,420,3.79802427230243,0.891485020791359,0.772236505452972,50.8446691864608,0.87894126384176,0.875,0.00113333333333333,0.131633333333333,0.0914666666666667,0.1117,0.0757333333333333,0.0753,0.00195197335098688,0.00166433686048984,0.00181863602735677,0.00152750117900179,0.00152348186730266,30000,FALSE,FALSE,FALSE,FALSE
42,10,420,4.55762912676291,0.891485020791359,0.811622859383217,60.8794430931722,0.855048945016257,0.85,0.00336666666666667,0.135166666666667,0.1043,0.1119,0.0832333333333333,0.0825,0.00197396925751888,0.00176466720186366,0.00182005851554284,0.00159484111596898,0.00158843476416251,30000,FALSE,FALSE,FALSE,FALSE
60,7,420,6.51089875251844,0.891485020791359,0.873434643877609,87.3647381832444,0.791988718611323,0.785714285714286,0.0213,0.163633333333333,0.143633333333333,0.1318,0.113233333333333,0.112533333333333,0.00213586411518114,0.00202486871087888,0.00195302124924436,0.00182949488070301,0.00182455092394651,30000,FALSE,FALSE,FALSE,FALSE
70,6,420,7.59604854460485,0.891485020791359,0.894444532110851,102.272677812164,0.756493624256752,0.75,0.0402,0.1767,0.160766666666667,0.138833333333333,0.125633333333333,0.1246,0.00220209831751446,0.00212069757041998,0.00199631860256898,0.00191354469409426,0.00190678472827952,30000,FALSE,FALSE,FALSE,FALSE
84,5,420,9.11525825352582,0.891485020791359,0.915529785452048,123.242093029955,0.706566445166773,0.7,0.0721,0.206233333333333,0.193933333333333,0.160666666666667,0.1511,0.150266666666667,0.0023359590860826,0.00228271180510926,0.0021201642144646,0.00206775877058552,0.00206306079693543,30000,FALSE,FALSE,FALSE,FALSE
