"phi","N","method","block_constant","block_length","coverage","coverage_mcse","convex_failure_rate"
0.2,256,"Population optimum",0.5,8,0.93449,0.000782422136062113,0
0.2,256,"Plug-in",1,16,0.92223,0.000846887401606613,4e-05
0.2,256,"C = 1",1,16,0.9209,0.000853482220084285,4e-05
0.2,512,"Population optimum",0.530330085889911,12,0.93787,0.00076334699252699,0
0.2,512,"Plug-in",1,23,0.93142,0.000799229526481598,0
0.2,512,"C = 1",1.01646599795566,23,0.93093,0.000801868661939098,0
0.2,1024,"Population optimum",0.53125,17,0.94361,0.000729452999856742,0
0.2,1024,"Plug-in",1,32,0.93971,0.000752695927317266,0
0.2,1024,"C = 1",1,32,0.93933,0.000754911591512543,0
0.2,4096,"Population optimum",0.53125,34,0.94664,0.000710722944613441,0
0.2,4096,"Plug-in",1,64,0.94542,0.000718338524652548,0
0.2,4096,"C = 1",1,64,0.94507,0.00072050465022788,0
0.5,256,"Population optimum",0.9375,15,0.91493,0.000882230667682778,2e-05
0.5,256,"Plug-in",1,16,0.91319,0.000890359612179259,6e-05
0.5,256,"C = 1",1,16,0.91368,0.000888081401674418,6e-05
0.5,512,"Population optimum",0.928077650307344,21,0.92879,0.000813259711900202,0
0.5,512,"Plug-in",1,23,0.92768,0.0008190837417505,0
0.5,512,"C = 1",1.01646599795566,23,0.92852,0.000814681591789087,0
0.5,1024,"Population optimum",0.9375,30,0.936,0.00077397674383666,0
0.5,1024,"Plug-in",1,32,0.93584,0.000774877373524353,0
0.5,1024,"C = 1",1,32,0.93574,0.000775439568245005,0
0.5,4096,"Population optimum",0.9375,60,0.94285,0.000734056384074139,0
0.5,4096,"Plug-in",1,64,0.94308,0.000732667138610706,0
0.5,4096,"C = 1",1,64,0.94344,0.00073048590951503,0
0.8,256,"Population optimum",1.75,28,0.86336,0.00108613770029403,0.00568
0.8,256,"Plug-in",1.35977785809661,22,0.87673,0.00103958889518886,0.00064
0.8,256,"C = 1",1,16,0.87734,0.00103737420634986,0.00019
0.8,512,"Population optimum",1.72357277914221,39,0.89915,0.000952256674956915,0.00032
0.8,512,"Plug-in",1.48796019873026,34,0.90518,0.000926440325115439,7e-05
0.8,512,"C = 1",1.01646599795566,23,0.90535,0.00092569637300791,0
0.8,1024,"Population optimum",1.71875,55,0.91769,0.000869109106499293,1e-05
0.8,1024,"Plug-in",1.55496948615044,50,0.9206,0.000854959882099739,0
0.8,1024,"C = 1",1,32,0.92175,0.000849275794427229,0
0.8,4096,"Population optimum",1.71875,110,0.93669,0.000770076904601092,0
0.8,4096,"Plug-in",1.63922112409451,105,0.93717,0.000767348624159841,0
0.8,4096,"C = 1",1,64,0.93739,0.000766093910039755,0
