"phi","N","b","C_opt","coverage","coverage_error","coverage_mcse","convex_failure_rate","oracle_minus_plugin_coverage","paired_mcse","mean_C_hat","sd_C_hat","median_C_hat","q25_C_hat","q75_C_hat","rmse_C_hat","mean_r_hat","median_r_hat","q25_r_hat","q75_r_hat","fallback_rate","mean_M_hat","median_M_hat","mean_Q_hat","q10_Q_hat"
0.2,256,0.416666666666667,0.52704627669473,0.92223,-0.02777,0.000846887401606613,4e-05,0.01226,0.000575586863125254,0.891043268322437,0.231588942931719,1,0.802516941316373,1,0.431424051332175,1.69063573299568,1.89736659610103,1.52266883725885,1.89736659610103,0.47899,14.25949,16,20.79744,15
0.2,512,0.416666666666667,0.52704627669473,0.93142,-0.0185799999999999,0.000799229526481598,0,0.00645,0.000532059024797117,0.925570841168067,0.240560757546027,1,0.864886019870867,1,0.465500513281135,1.75614719635742,1.89736659610103,1.64100584353775,1.89736659610103,0.47746,21.12351,23,28.14133,19
0.2,1024,0.416666666666667,0.52704627669473,0.93971,-0.0102899999999999,0.000752695927317266,0,0.0039,0.000473550570162707,0.913517704430686,0.248561701780926,1,0.825058887370857,1,0.459502411548952,1.73327797733368,1.89736659610103,1.56543917271374,1.89736659610103,0.4493,29.23197,32,41.65319,27
0.2,4096,0.416666666666667,0.52704627669473,0.94542,-0.00457999999999992,0.000718338524652548,0,0.00122,0.000378664165013668,0.866924992154202,0.254349131066562,1,0.725712333817707,1,0.424511925347087,1.64487452143853,1.89736659610103,1.37694234056424,1.89736659610103,0.3975,55.4814,64,90.88945,59
0.5,256,1.33333333333333,0.942809041582063,0.91319,-0.03681,0.000890359612179259,6e-05,0.00174,0.000598308702705416,0.933055274119173,0.249089224058866,1,0.816242083077375,1.0762483860991,0.249278874089949,0.989654567327311,1.06066017177982,0.865755468050768,1.14153379807763,0.23265,14.93097,16,19.60654,13
0.5,512,1.33333333333333,0.942809041582063,0.92768,-0.02232,0.0008190837417505,0,0.00111,0.000538043282557955,0.977474710819774,0.270532985733689,1,0.868821822821172,1.13884807551825,0.272743603248031,1.03676849468853,1.06066017177982,0.921524703839562,1.2079307954103,0.26775,22.21856,23,26.68269,17
0.5,1024,1.33333333333333,0.942809041582063,0.93584,-0.01416,0.000774877373524353,0,0.00016,0.000483117043811104,0.977261027568228,0.2791894811859,1,0.848192250254806,1.15247770267089,0.281305752297352,1.03654184937424,1.06066017177982,0.899643737857576,1.22238719808732,0.23086,31.27463,32,38.61693,24
0.5,4096,1.33333333333333,0.942809041582063,0.94308,-0.00691999999999993,0.000732667138610706,0,-0.00023,0.000394589695773065,0.951773219245545,0.277010747139882,1,0.801318396879059,1.13304835619754,0.277154367027903,1.00950794622041,1.06066017177982,0.849926508484073,1.20177926411933,0.14501,60.91391,64,80.16168,49
0.8,256,4.44444444444445,1.72132593164774,0.87673,-0.0732699999999999,0.00103958889518886,0.00064,-0.01337,0.000774285752280295,1.3274269608372,0.151605056148118,1.35977785809661,1.26312658501757,1.42959830402223,0.422066656364073,0.771165376894379,0.789959549842462,0.733810234188736,0.830521563486667,0.00259,21.23821,22,11.89165,10
0.8,512,4.44444444444445,1.72132593164774,0.90518,-0.04482,0.000926440325115439,7e-05,-0.00603,0.000668087460149151,1.45149018315507,0.183845723219286,1.48796019873026,1.37001092338891,1.57708379102981,0.326512240380237,0.843239595981473,0.864426760425266,0.795904423561124,0.916202888734816,0.00247,32.84538,34,15.58966,13
0.8,1024,4.44444444444445,1.72132593164774,0.9206,-0.0294,0.000854959882099739,0,-0.00291,0.000583454131176763,1.52687929161892,0.166808044828869,1.55496948615044,1.44503198670677,1.64176447604833,0.256191610691857,0.887036710216361,0.903355638558202,0.839487722887853,0.953778971119521,0.00076,48.86188,50,20.76242,18
0.8,4096,4.44444444444445,1.72132593164774,0.93717,-0.01283,0.000767348624159841,0,-0.00048,0.000459782350681385,1.62477610503267,0.128469456375525,1.63922112409451,1.55074327519798,1.71543526685456,0.160705025424881,0.94390961941609,0.952301417155416,0.900900431862738,0.99657783300369,0,103.98541,105,39.17201,35
