"scenario_id","innovation","module","panel","series","regime","regime_label","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","N_label","design_id","alpha_effective","L","seed"
"gaussian_phi000_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0,64,4,16,0,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.00","N = 64","gaussian_phi000_N64_M4_Q16",0.333333333333333,2,2090051795
"gaussian_phi000_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0,64,8,8,0,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.00","N = 64","gaussian_phi000_N64_M8_Q8",0.5,4,2090051795
"gaussian_phi000_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0,64,16,4,0,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.00","N = 64","gaussian_phi000_N64_M16_Q4",0.666666666666667,5,2090051795
"gaussian_phi005_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.05,64,4,16,0.05,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.05","N = 64","gaussian_phi005_N64_M4_Q16",0.333333333333333,2,2095055295
"gaussian_phi005_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.05,64,8,8,0.05,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.05","N = 64","gaussian_phi005_N64_M8_Q8",0.5,4,2095055295
"gaussian_phi005_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.05,64,16,4,0.05,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.05","N = 64","gaussian_phi005_N64_M16_Q4",0.666666666666667,5,2095055295
"gaussian_phi010_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.1,64,4,16,0.1,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.10","N = 64","gaussian_phi010_N64_M4_Q16",0.333333333333333,2,2100058795
"gaussian_phi010_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.1,64,8,8,0.1,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.10","N = 64","gaussian_phi010_N64_M8_Q8",0.5,4,2100058795
"gaussian_phi010_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.1,64,16,4,0.1,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.10","N = 64","gaussian_phi010_N64_M16_Q4",0.666666666666667,5,2100058795
"gaussian_phi015_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.15,64,4,16,0.15,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.15","N = 64","gaussian_phi015_N64_M4_Q16",0.333333333333333,2,2105062295
"gaussian_phi015_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.15,64,8,8,0.15,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.15","N = 64","gaussian_phi015_N64_M8_Q8",0.5,4,2105062295
