"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian",0,64,4,16,"K_asym_full_minus_K_leading",0,0,0,0
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian",0,64,4,16,"V_oracle_minus_V_feasible",0.00263,0.000373406247031639,-0.0101351713769712,0.000218758821757103
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian",0,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",0,0,0,0
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian",0,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00246,0.000356006673262615,-0.0124889718752586,0.000228999917271319
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian",0,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00246,0.000356006673262615,-0.0124889718752586,0.000228999917271319
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian",0,64,8,8,"K_asym_full_minus_K_leading",0,0,0,0
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian",0,64,8,8,"V_oracle_minus_V_feasible",0.00404,0.000412114647136963,-0.0100039736726491,0.000206090448952025
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian",0,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",0,0,0,0
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian",0,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.0029,0.000374589512897828,-0.0143051023298345,0.000219929166017744
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian",0,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.0029,0.000374589512897828,-0.0143051023298345,0.000219929166017744
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian",0,64,16,4,"K_asym_full_minus_K_leading",0,0,0,0
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian",0,64,16,4,"V_oracle_minus_V_feasible",0.00331,0.000303959475775356,-0.00203446694683578,7.66717499050264e-05
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian",0,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",0,0,0,0
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian",0,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00242,0.000260273151556464,-0.00331593390178938,7.21732530866265e-05
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian",0,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.00242,0.000260273151556464,-0.00331593390178938,7.21732530866265e-05
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,4,16,"K_asym_full_minus_K_leading",-0.00105,0.000102416209121403,-0.0022913257991705,3.23319831187374e-06
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,4,16,"V_oracle_minus_V_feasible",0.00237,0.000359228508683838,-0.00947947891785427,0.000212791336133634
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00108,0.000103867434186269,-0.00231979874501477,3.28003694215789e-06
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00183,0.000339805334973801,-0.0115648072627181,0.000221771679903331
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00189,0.000337735724574994,-0.0117790682008405,0.000222641275536292
"gaussian_phi005_N64_M8_Q8","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,8,8,"K_asym_full_minus_K_leading",-0.00133,0.000115249485137411,-0.00225313195745604,4.6109543717512e-06
"gaussian_phi005_N64_M8_Q8","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,8,8,"V_oracle_minus_V_feasible",0.00442,0.000410617001673361,-0.0100907762058186,0.000206299288436242
"gaussian_phi005_N64_M8_Q8","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00129,0.000113505452886099,-0.00226199982740061,4.63211295062652e-06
"gaussian_phi005_N64_M8_Q8","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00325,0.000379467804903327,-0.0142181971739052,0.000219403055658088
"gaussian_phi005_N64_M8_Q8","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.00353,0.000378915329286462,-0.0144339977272252,0.000219985052561491
"gaussian_phi005_N64_M16_Q4","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,16,4,"K_asym_full_minus_K_leading",-0.00115,0.000107176909215086,-0.00161221239510224,5.03215346377421e-06
"gaussian_phi005_N64_M16_Q4","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,16,4,"V_oracle_minus_V_feasible",0.00356,0.000297782052416709,-0.0019845797506965,7.67355720010712e-05
"gaussian_phi005_N64_M16_Q4","gaussian_phi005_N64","gaussian","Gaussian",0.05,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00119,0.000109022740103056,-0.00161022077576418,5.02666863605838e-06
