"design_id","scenario_id","innovation","innovation_label","assumption_status","phi","phi_label","N","M","Q","L","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions",0,"phi = 0.00",64,4,16,2,100000,0,0,-0.182487947774089,-0.182487947774089,0.69390823682445,1,1.04104075419586,0.0410407541958611,0.159561522306387,0.00039,0.04249,3e-05
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions",0,"phi = 0.00",64,8,8,4,100000,0,0,-0.513206045833975,-0.513206045833975,1.66329518773049,1,1.05160149284619,0.0516014928461945,0.17438224314265,0.00505,0.08587,0.00842
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions",0,"phi = 0.00",64,16,4,5,100000,0,0,-0.693369607507276,-0.693369607507276,2.17635472141117,1,1.02921514185092,0.0292151418509201,0.0967009044723297,0.01083,0.10044,0.12612
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions",0.05,"phi = 0.05",64,4,16,2,100000,0,0.100250626566416,-0.0737048004733991,-0.173955427039815,0.643476165573765,0.976467053655475,1.01587161148156,0.0394045578260884,0.148385032173238,0.00021,0.02806,5e-05
"gaussian_phi005_N64_M8_Q8","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions",0.05,"phi = 0.05",64,8,8,4,100000,0,0.100250626566416,-0.414829039025394,-0.51507966559181,1.62475818884267,0.989017885158947,1.04119382792448,0.0521759427655351,0.170658691344067,0.0043,0.07504,0.00767
"gaussian_phi005_N64_M16_Q4","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions",0.05,"phi = 0.05",64,16,4,5,100000,0,0.100250626566416,-0.603379710033908,-0.703630336600324,2.14751914031963,0.995293379353624,1.02516962653001,0.0298762471763855,0.0955643966221038,0.00914,0.0918,0.12536
"gaussian_phi010_N64_M4_Q16","gaussian_phi010_N64","gaussian","Gaussian","inside formal moment assumptions",0.1,"phi = 0.10",64,4,16,2,100000,0,0.202020202020202,0.0400066401751722,-0.16201356184503,0.585088613321844,0.952506649778341,0.989472883437179,0.0369662336588383,0.135382388516041,7e-05,0.01659,4e-05
"gaussian_phi010_N64_M8_Q8","gaussian_phi010_N64","gaussian","Gaussian","inside formal moment assumptions",0.1,"phi = 0.10",64,8,8,4,100000,0,0.202020202020202,-0.302114961455682,-0.504135163475883,1.57807739560522,0.977834072450918,1.02921569634011,0.0513816238891948,0.166128999988091,0.00334,0.06367,0.00847
"gaussian_phi010_N64_M16_Q4","gaussian_phi010_N64","gaussian","Gaussian","inside formal moment assumptions",0.1,"phi = 0.10",64,16,4,5,100000,0,0.202020202020202,-0.49277070472901,-0.694790906749212,2.10958361764375,0.990500316656111,1.02016701356565,0.0296666969095359,0.0940474091017382,0.00773,0.0842,0.1275
"gaussian_phi015_N64_M4_Q16","gaussian_phi015_N64","gaussian","Gaussian","inside formal moment assumptions",0.15,"phi = 0.15",64,4,16,2,100000,0,0.30690537084399,0.150695715330376,-0.156209655513614,0.527971937184466,0.92776148409894,0.963671533393186,0.0359100492942465,0.122594818202362,4e-05,0.00964,3e-05
"gaussian_phi015_N64_M8_Q8","gaussian_phi015_N64","gaussian","Gaussian","inside formal moment assumptions",0.15,"phi = 0.15",64,8,8,4,100000,0,0.30690537084399,-0.182400599866471,-0.489305970710461,1.52106341576169,0.966270488517407,1.01647262599922,0.0502021374818103,0.160543639726322,0.00274,0.05361,0.00845
"gaussian_phi015_N64_M16_Q4","gaussian_phi015_N64","gaussian","Gaussian","inside formal moment assumptions",0.15,"phi = 0.15",64,16,4,5,100000,0,0.30690537084399,-0.37824674811783,-0.685152118961819,2.0583019150775,0.985544490844846,1.01500060173529,0.0294561108904394,0.0919723356513144,0.00667,0.07399,0.12619
"gaussian_phi020_N64_M4_Q16","gaussian_phi020_N64","gaussian","Gaussian","inside formal moment assumptions",0.2,"phi = 0.20",64,4,16,2,100000,0,0.416666666666667,0.253386565539105,-0.163280101127561,0.479566391684594,0.901871559633028,0.939632615090835,0.0377610554578073,0.111742349753193,1e-05,0.00551,7e-05
