"design_id","scenario_id","innovation","innovation_label","assumption_status","severity_group","phi","phi_label","N","M","Q","L","B_point","B_CI","statistic","coverage","coverage_error","coverage_mcse","gaussian_paired_coverage_error","gaussian_paired_error_mcse","rejection","mean_statistic_finite","ci_subset_coverage","ci_subset_coverage_mcse","n_finite_lengths","mean_length","mean_length_mcse","sd_length","median_length","q25_length","q75_length","q90_length","q95_length","mean_component_length","normalized_mean_length","relative_mean_length_to_raw","disconnected_rate","nonregular_rate","interval_failure_rate","convex_failure_rate"
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,4,16,2,100000,20000,"raw",0.92445,-0.02555,0.000835716444136407,-0.02444,0.000655920091407226,0.07555,1.24439250448491,0.92675,0.00184234141108536,20000,0.476109306420348,0.00061919579485483,0.0875675090848089,0.474222728542259,0.414707809994461,0.533387052733282,0.589533423610789,0.623861901512052,0.476109306420348,0.9716695004109,1,0,0,0,3e-05
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,4,16,2,100000,20000,"K_leading",0.93669,-0.0133099999999999,0.000770076904601092,-0.0122,0.000617831220604925,0.06331,1.12773070718945,0.93925,0.0016890742656852,20000,0.500814797834478,0.000652434270930024,0.0922681394506242,0.498662787070834,0.436266634786991,0.56116971956922,0.619932082828469,0.656617335327398,0.500814797834478,1.0220897971286,1.05189037702262,0,0,0,3e-05
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,4,16,2,100000,20000,"V_oracle",0.92445,-0.02555,0.000835716444136407,-0.02444,0.000655920091407226,0.07555,1.24439250448491,0.92675,0.00184234141108536,20000,0.476109306420348,0.00061919579485483,0.0875675090848089,0.474222728542259,0.414707809994461,0.533387052733282,0.589533423610789,0.623861901512052,0.476109306420348,0.9716695004109,1,0,0,0,3e-05
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,4,16,2,100000,20000,"V_feasible",0.92182,-0.02818,0.000848928074691844,-0.02707,0.000713005774711781,0.07818,1.26964320379764,0.9245,0.00186815082367565,20000,0.486244477797319,0.000777361965376618,0.109935583430862,0.483924379745581,0.409222973397992,0.559497159945837,0.628023099281433,0.671743928621435,0.486244477797319,0.992353903709973,1.02128748848279,0,0,0,3e-05
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,4,16,2,100000,20000,"VK_leading_oracle",0.93669,-0.0133099999999999,0.000770076904601092,-0.0122,0.000617831220604925,0.06331,1.12773070718945,0.93925,0.0016890742656852,20000,0.500814797834478,0.000652434270930024,0.0922681394506242,0.498662787070834,0.436266634786991,0.56116971956922,0.619932082828469,0.656617335327398,0.500814797834478,1.0220897971286,1.05189037702262,0,0,0,3e-05
"gaussian_phi000_N64_M4_Q16","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,4,16,2,100000,20000,"F_feasible_leading",0.93423,-0.01577,0.000783864191681187,-0.01466,0.000677388686467618,0.06577,1.15061415344161,0.9358,0.00173318146770614,20000,0.513303769709737,0.000820208150820958,0.115994949085996,0.510618867869383,0.432170376062971,0.590380198235875,0.663121700757679,0.708815191468528,0.513303769709737,1.04757796318425,1.07812168925879,0,0,0,3e-05
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,8,8,4,100000,20000,"raw",0.88069,-0.06931,0.00102506157815031,-0.0682,0.00089358580167539,0.11931,1.70452324771137,0.883,0.00227278463563973,20000,0.437702863275028,0.000843374470447794,0.11927116142665,0.431676282074123,0.353309106253198,0.515017096596922,0.595448319634716,0.64400415344807,0.437702863275028,0.893287563909485,1,0,0,0,0.00842
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,8,8,4,100000,20000,"K_leading",0.90722,-0.0427799999999999,0.000917452296307552,-0.04167,0.000810149785179719,0.09278,1.38492513876549,0.91045,0.00201904429743381,20000,0.482809435746038,0.000932861918863404,0.131926597747802,0.476052948518046,0.389543185241983,0.567684843743628,0.657059741593089,0.711414012761313,0.482809435746038,0.985343484991311,1.10305295271205,0,0,0,0.00842
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,8,8,4,100000,20000,"V_oracle",0.88069,-0.06931,0.00102506157815031,-0.0682,0.00089358580167539,0.11931,1.70452324771137,0.883,0.00227278463563973,20000,0.437702863275028,0.000843374470447794,0.11927116142665,0.431676282074123,0.353309106253198,0.515017096596922,0.595448319634716,0.64400415344807,0.437702863275028,0.893287563909485,1,0,0,0,0.00842
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,8,8,4,100000,20000,"V_feasible",0.87665,-0.0733499999999999,0.00103987873091048,-0.07224,0.000936067618404708,0.12335,1.75136927065229,0.8788,0.00230771055377402,20000,0.447706836947677,0.000998925762050431,0.14126943604956,0.440110761364878,0.344018630503482,0.539875056499125,0.636893890441774,0.693554155079202,0.447706836947677,0.913704211871507,1.02285562766895,0,0,0,0.00842
