"scenario_id","design_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","M","Q","L","seed","sigma2_long_run","B2_long_run","b_true","omega_M","omega_N","nu_oracle","aK_asym_full","factor_K_asym_full","factor_K_leading","variance_component","EL_component","leading_total_component","first_order_length_benchmark","aK_gaussian_exact","aK_exact_minus_asym"
"gaussian_phi000_N64","gaussian_phi000_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0,"phi = 0.00",64,4,16,2,2090051795,1,0,0,1,1,1,6,0.90625,0.90625,0,0.09375,0.09375,0.489990996135013,6,0
"gaussian_phi000_N64","gaussian_phi000_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0,"phi = 0.00",64,8,8,4,2090051795,1,0,0,1,1,1,12,0.8125,0.8125,0,0.1875,0.1875,0.489990996135013,12,0
"gaussian_phi000_N64","gaussian_phi000_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0,"phi = 0.00",64,16,4,5,2090051795,1,0,0,1,1,1,24,0.625,0.625,0,0.375,0.375,0.489990996135013,24,0
"gaussian_phi005_N64","gaussian_phi005_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.05,"phi = 0.05",64,4,16,2,2095055295,1.10526315789474,0.110803324099723,0.100250626566416,1.0775625,1.10353185595568,0.976467053655475,5.49874686716792,0.914082080200501,0.90625,0.025062656641604,0.09375,0.118812656641604,0.514731251599919,5.52231884768049,0.0235719805125738
"gaussian_phi005_N64","gaussian_phi005_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.05,"phi = 0.05",64,8,8,4,2095055295,1.10526315789474,0.110803324099723,0.100250626566416,1.09141274238281,1.10353185595568,0.989017885158947,11.4987468671679,0.820332080200501,0.8125,0.012531328320802,0.1875,0.200031328320802,0.514731251599919,11.538005875595,0.039259008427095
"gaussian_phi005_N64","gaussian_phi005_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.05,"phi = 0.05",64,16,4,5,2095055295,1.10526315789474,0.110803324099723,0.100250626566416,1.0983379501385,1.10353185595568,0.995293379353624,23.4987468671679,0.632832080200501,0.625,0.006265664160401,0.375,0.381265664160401,0.514731251599919,23.5741131040175,0.0753662368496286
"gaussian_phi010_N64","gaussian_phi010_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.1,"phi = 0.10",64,4,16,2,2100058795,1.22222222222222,0.246913580246914,0.202020202020202,1.1605,1.21836419753086,0.952506649778341,4.98989898989899,0.922032828282828,0.90625,0.0505050505050505,0.09375,0.14425505050505,0.540849788147253,5.04733588516446,0.0574368952654662
"gaussian_phi010_N64","gaussian_phi010_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.1,"phi = 0.10",64,8,8,4,2100058795,1.22222222222222,0.246913580246914,0.202020202020202,1.191358025,1.21836419753086,0.977834072450918,10.989898989899,0.828282828282828,0.8125,0.0252525252525253,0.1875,0.212752525252525,0.540849788147253,11.0724442721922,0.0825452822932267
"gaussian_phi010_N64","gaussian_phi010_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.1,"phi = 0.10",64,16,4,5,2100058795,1.22222222222222,0.246913580246914,0.202020202020202,1.20679012345679,1.21836419753086,0.990500316656111,22.989898989899,0.640782828282828,0.625,0.0126262626262626,0.375,0.387626262626263,0.540849788147253,23.1421447024175,0.152245712518461
"gaussian_phi015_N64","gaussian_phi015_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.15,"phi = 0.15",64,4,16,2,2105062295,1.35294117647059,0.41522491349481,0.30690537084399,1.2491875,1.34645328719723,0.92776148409894,4.46547314578005,0.930226982097187,0.90625,0.0767263427109974,0.09375,0.170476342710997,0.568569743784591,4.56891767735045,0.103444531570398
"gaussian_phi015_N64","gaussian_phi015_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.15,"phi = 0.15",64,8,8,4,2105062295,1.35294117647059,0.41522491349481,0.30690537084399,1.30103807558594,1.34645328719723,0.966270488517407,10.4654731457801,0.836476982097187,0.8125,0.0383631713554987,0.1875,0.225863171355499,0.568569743784591,10.5962914233623,0.130818277582208
"gaussian_phi015_N64","gaussian_phi015_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.15,"phi = 0.15",64,16,4,5,2105062295,1.35294117647059,0.41522491349481,0.30690537084399,1.32698961937716,1.34645328719723,0.985544490844846,22.4654731457801,0.648976982097187,0.625,0.0191815856777494,0.375,0.394181585677749,0.568569743784591,22.6973541521835,0.231881006403455
"gaussian_phi020_N64","gaussian_phi020_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.20",64,4,16,2,2110065795,1.5,0.625,0.416666666666667,1.344,1.490234375,0.901871559633028,3.91666666666667,0.938802083333333,0.90625,0.104166666666667,0.09375,0.197916666666667,0.598157273671886,4.08173221220019,0.16506554553352
"gaussian_phi020_N64","gaussian_phi020_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.20",64,8,8,4,2110065795,1.5,0.625,0.416666666666667,1.4218752,1.490234375,0.95412857457405,9.91666666666667,0.845052083333333,0.8125,0.0520833333333333,0.1875,0.239583333333333,0.598157273671886,10.1020349387655,0.18536827209879
"gaussian_phi020_N64","gaussian_phi020_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.20",64,16,4,5,2110065795,1.5,0.625,0.416666666666667,1.46093750000026,1.490234375,0.980340760157446,21.9166666666667,0.657552083333333,0.625,0.0260416666666667,0.375,0.401041666666667,0.598157273671886,22.2323345970146,0.315667930347967
"gaussian_phi025_N64","gaussian_phi025_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",64,4,16,2,2115069295,1.66666666666667,0.888888888888889,0.533333333333333,1.4453125,1.65277777777778,0.874474789915966,3.33333333333333,0.947916666666667,0.90625,0.133333333333333,0.09375,0.227083333333333,0.629934409933471,3.58139260496567,0.248059271632339
"gaussian_phi025_N64","gaussian_phi025_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",64,8,8,4,2115069295,1.66666666666667,0.888888888888889,0.533333333333333,1.55555725097656,1.65277777777778,0.941177496389181,9.33333333333333,0.854166666666667,0.8125,0.0666666666666667,0.1875,0.254166666666667,0.629934409933471,9.5812906045318,0.247957271198466
"gaussian_phi025_N64","gaussian_phi025_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",64,16,4,5,2115069295,1.66666666666667,0.888888888888889,0.533333333333333,1.61111111112405,1.65277777777778,0.974789915974213,21.3333333333333,0.666666666666667,0.625,0.0333333333333333,0.375,0.408333333333333,0.629934409933471,21.7385777847872,0.40524445145385
