"scenario_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","seed"
"gaussian_phi000_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0,"phi = 0.00",64,2090051795
"gaussian_phi005_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.05,"phi = 0.05",64,2095055295
"gaussian_phi010_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.1,"phi = 0.10",64,2100058795
"gaussian_phi015_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.15,"phi = 0.15",64,2105062295
"gaussian_phi020_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.20",64,2110065795
"gaussian_phi025_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",64,2115069295
"gaussian_phi030_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.3,"phi = 0.30",64,2120072795
"gaussian_phi035_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.35,"phi = 0.35",64,2125076295
"gaussian_phi040_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.4,"phi = 0.40",64,2130079795
"gaussian_phi045_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.45,"phi = 0.45",64,2135083295
"gaussian_phi050_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.50",64,2140086795
"gaussian_phi055_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.55,"phi = 0.55",64,2145090295
"gaussian_phi060_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.6,"phi = 0.60",64,2610149
"gaussian_phi065_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.65,"phi = 0.65",64,7613649
"gaussian_phi070_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.7,"phi = 0.70",64,12617149
"gaussian_phi075_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.75,"phi = 0.75",64,17620649
"gaussian_phi080_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.80",64,22624149
"gaussian_phi085_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.85,"phi = 0.85",64,27627649
"gaussian_phi090_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.9,"phi = 0.90",64,32631149
"gaussian_phi095_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.95,"phi = 0.95",64,37634649
"gaussian_phi000_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0,"phi = 0.00",729,607570144
"gaussian_phi005_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.05,"phi = 0.05",729,612573644
"gaussian_phi010_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.1,"phi = 0.10",729,617577144
"gaussian_phi015_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.15,"phi = 0.15",729,622580644
"gaussian_phi020_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.20",729,627584144
"gaussian_phi025_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",729,632587644
"gaussian_phi030_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.3,"phi = 0.30",729,637591144
"gaussian_phi035_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.35,"phi = 0.35",729,642594644
"gaussian_phi040_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.4,"phi = 0.40",729,647598144
"gaussian_phi045_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.45,"phi = 0.45",729,652601644
"gaussian_phi050_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.50",729,657605144
"gaussian_phi055_N729","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.55,"phi = 0.55",729,662608644
