"scenario_id","innovation","module","panel","series","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","design_id","alpha_effective","L","seed"
"gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N64_M4_Q16",0.333333333333333,2,2140086795
"gaussian_phi050_N64","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,64,8,8,64,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N64_M8_Q8",0.5,4,2140086795
"gaussian_phi050_N64","gaussian","constant_sensitivity","N_64","N = 64",0.5,64,8,8,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N64_M8_Q8",0.5,4,2140086795
"gaussian_phi050_N64","gaussian","constant_sensitivity","N_64","N = 64",0.5,64,16,4,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N64_M16_Q4",0.666666666666667,5,2140086795
"gaussian_phi050_N64","gaussian","constant_sensitivity","N_64","N = 64",0.5,64,4,16,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N64_M4_Q16",0.333333333333333,2,2140086795
"gaussian_phi050_N64","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,64,8,8,64,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N64_M8_Q8",0.5,4,2140086795
"gaussian_phi050_N64","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,64,16,4,64,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N64_M16_Q4",0.666666666666667,5,2140086795
"gaussian_phi050_N125","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,125,25,5,125,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N125_M25_Q5",0.666666666666667,7,53603332
"gaussian_phi050_N125","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,125,5,25,125,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N125_M5_Q25",0.333333333333333,2,53603332
"gaussian_phi050_N216","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,216,36,6,216,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N216_M36_Q6",0.666666666666667,9,144603605
"gaussian_phi050_N216","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,216,6,36,216,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N216_M6_Q36",0.333333333333333,3,144603605
"gaussian_phi050_N512","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,512,8,64,512,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N512_M8_Q64",0.333333333333333,4,440604493
