"design_id","scenario_id_module","innovation_module","module","panel","series","phi_module","N_module","M_module","Q_module","x_order","alpha_nominal","C_nominal","note","innovation_label_module","dist_code","skewness","excess_kurtosis","assumption_status_module","severity_group","phi_label_module","alpha_effective","L_module","seed","scenario_id_result","innovation_result","innovation_label_result","assumption_status_result","phi_result","phi_label_result","N_result","M_result","Q_result","L_result","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,64,4,16,64,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",64,4,16,2,100000,0,1.33333333333333,0.740849780435216,-0.592483552898117,0.622308233195423,0.702127659574468,0.824193189222823,0.122065529648355,0.130237574169876,0,3e-05,9e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","constant_sensitivity","N_64","N = 64",0.5,64,4,16,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",64,4,16,2,100000,0,1.33333333333333,0.740849780435216,-0.592483552898117,0.622308233195423,0.702127659574468,0.824193189222823,0.122065529648355,0.130237574169876,0,3e-05,9e-05
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,64,8,8,64,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,4,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",64,8,8,4,100000,0,1.33333333333333,0.845608031166685,-0.487725302166648,0.980020560515571,0.851728723404255,0.90502762166816,0.0532988982639048,0.106827184303889,0.00012,0.00536,0.01142
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","constant_sensitivity","N_64","N = 64",0.5,64,8,8,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,4,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",64,8,8,4,100000,0,1.33333333333333,0.845608031166685,-0.487725302166648,0.980020560515571,0.851728723404255,0.90502762166816,0.0532988982639048,0.106827184303889,0.00012,0.00536,0.01142
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,64,8,8,64,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,4,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",64,8,8,4,100000,0,1.33333333333333,0.845608031166685,-0.487725302166648,0.980020560515571,0.851728723404255,0.90502762166816,0.0532988982639048,0.106827184303889,0.00012,0.00536,0.01142
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","constant_sensitivity","N_64","N = 64",0.5,64,16,4,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,5,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",64,16,4,5,100000,0,1.33333333333333,0.729489313105678,-0.603844020227656,1.48792196656951,0.936171511386303,0.964067828936342,0.0278963175500384,0.0684685011130697,0.00096,0.01597,0.13618
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,64,16,4,64,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,5,2140086795,"gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",64,16,4,5,100000,0,1.33333333333333,0.729489313105678,-0.603844020227656,1.48792196656951,0.936171511386303,0.964067828936342,0.0278963175500384,0.0684685011130697,0.00096,0.01597,0.13618
"gaussian_phi050_N125_M25_Q5","gaussian_phi050_N125","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,125,25,5,125,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,7,53603332,"gaussian_phi050_N125","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",125,25,5,7,100000,0,1.33333333333333,0.735440250796699,-0.597893082536635,1.85698084234658,0.956873316970476,0.97554281156845,0.018669494597975,0.0584776943851268,0.00024,0.01172,0.06654
"gaussian_phi050_N125_M5_Q25","gaussian_phi050_N125","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,125,5,25,125,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,2,53603332,"gaussian_phi050_N125","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",125,5,25,2,100000,0,1.33333333333333,0.770683645786047,-0.562649687547287,0.575475572814174,0.74966307277628,0.851087949755544,0.101424876979264,0.104103224107544,0,0,0
"gaussian_phi050_N216_M36_Q6","gaussian_phi050_N216","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,216,36,6,216,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,9,144603605,"gaussian_phi050_N216","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",216,36,6,9,100000,0,1.33333333333333,0.744011543044238,-0.589321790289096,2.12516263038585,0.968944099379424,0.98227456089561,0.0133304615161859,0.0486173981718984,5e-05,0.00735,0.03397
