"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,4,16,"K_asym_full_minus_K_leading",-0.01935,0.00043561183704845,-0.0384049247699646,5.43620085247487e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,4,16,"V_oracle_minus_V_feasible",0.02106,0.000454055971955283,0.0522072963084067,7.80556420953383e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.01367,0.000367195668992151,-0.0460312020411959,6.71384983904896e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.02085,0.00045183494392108,0.0520429503225485,7.7798487566537e-05
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.01911,0.000432954909314509,0.0537290521902857,8.04247508488595e-05
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,8,8,"K_asym_full_minus_K_leading",-0.01698,0.000408556563017475,-0.0414624713063416,8.40393178106598e-05
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,8,8,"V_oracle_minus_V_feasible",0.0067,0.000308467261667288,0.00127919042823267,0.00015843293497428
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.01446,0.000377505641156647,-0.0438583743521511,8.97539551759175e-05
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00589,0.000293519915064388,4.50329004246256e-05,0.000161745748446686
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.005,0.000270463919048946,-0.0018282098590555,0.000165825652866554
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,16,4,"K_asym_full_minus_K_leading",-0.01552,0.000390887226611768,-0.0316879431240245,9.76773074725089e-05
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,16,4,"V_oracle_minus_V_feasible",0.00315,0.000232381830213014,-4.03901613657228e-05,7.01119223580844e-05
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.01467,0.000380196470911508,-0.0312117872315427,9.64150015314549e-05
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00264,0.000209118964485321,-0.00105302405577119,6.71626305177509e-05
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","Gaussian",0.5,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.00235,0.000201109869105906,-0.00144992323513732,6.40526092312282e-05
"gaussian_phi050_N125_M5_Q25","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,5,25,"K_asym_full_minus_K_leading",-0.00927,0.000303053773142481,-0.0149800944748237,1.65254191443215e-05
"gaussian_phi050_N125_M5_Q25","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,5,25,"V_oracle_minus_V_feasible",0.01617,0.000398856994258617,0.0343402075394994,3.32063680182591e-05
"gaussian_phi050_N125_M5_Q25","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,5,25,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00661,0.000256249362218438,-0.0175456347969309,1.98968918522409e-05
"gaussian_phi050_N125_M5_Q25","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,5,25,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.01602,0.000397032961291281,0.034440504584478,3.33177054023376e-05
"gaussian_phi050_N125_M5_Q25","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,5,25,"VK_leading_oracle_minus_F_feasible_leading",0.01528,0.00038790040044734,0.035273541449439,3.42463381623934e-05
"gaussian_phi050_N125_M25_Q5","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,25,5,"K_asym_full_minus_K_leading",-0.00764,0.000275348982512414,-0.0145579987630422,3.92864944029119e-05
"gaussian_phi050_N125_M25_Q5","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,25,5,"V_oracle_minus_V_feasible",0.00239,0.000229876939761417,-0.00136534408607567,6.12157024663726e-05
"gaussian_phi050_N125_M25_Q5","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,25,5,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00749,0.000272653154020679,-0.0145874333218114,3.94337319320213e-05
