"scenario_id","design_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","M","Q","L","seed","sigma2_long_run","B2_long_run","b_true","omega_M","omega_N","nu_oracle","aK_asym_full","factor_K_asym_full","factor_K_leading","variance_component","EL_component","leading_total_component","first_order_length_benchmark","aK_gaussian_exact","aK_exact_minus_asym"
"gaussian_phi050_N64","gaussian_phi050_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",64,4,16,2,2140086795,3,4,1.33333333333333,2.0625,2.9375,0.702127659574468,-0.666666666666666,1.01041666666667,0.90625,0.333333333333333,0.09375,0.427083333333333,0.839802256702024,0.821906653180172,1.48857331984684
"gaussian_phi050_N64","gaussian_phi050_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",64,16,4,5,2140086795,3,4,1.33333333333333,2.75000381469727,2.9375,0.936171511386303,17.3333333333333,0.729166666666667,0.625,0.0833333333333333,0.375,0.458333333333333,0.839802256702024,18.368609240782,1.03527590744865
"gaussian_phi050_N64","gaussian_phi050_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",64,8,8,4,2140086795,3,4,1.33333333333333,2.501953125,2.9375,0.851728723404255,5.33333333333333,0.916666666666667,0.8125,0.166666666666667,0.1875,0.354166666666667,0.839802256702024,6.16933018797456,0.83599685464123
"gaussian_phi050_N125","gaussian_phi050_N125_M25_Q5","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",125,25,5,7,53603332,3,4,1.33333333333333,2.84000000476837,2.968,0.956873316970476,30.8333333333333,0.753333333333333,0.7,0.0533333333333333,0.3,0.353333333333333,0.604025159206341,31.6834194152867,0.850086081953346
"gaussian_phi050_N125","gaussian_phi050_N125_M5_Q25","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",125,5,25,2,53603332,3,4,1.33333333333333,2.225,2.968,0.74966307277628,0.833333333333334,0.993333333333333,0.94,0.266666666666667,0.06,0.326666666666667,0.604025159206341,1.94905596977878,1.11572263644544
"gaussian_phi050_N216","gaussian_phi050_N216_M36_Q6","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",216,36,6,9,144603605,3,4,1.33333333333333,2.88888888889051,2.98148148148148,0.968944099379424,47.3333333333333,0.780864197530864,0.75,0.037037037037037,0.25,0.287037037037037,0.460539907302313,48.0481462907659,0.714812957432535
"gaussian_phi050_N216","gaussian_phi050_N216_M6_Q36","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",216,6,36,3,144603605,3,4,1.33333333333333,2.34375,2.98148148148148,0.78610248447205,2.33333333333333,0.989197530864197,0.958333333333333,0.222222222222222,0.0416666666666667,0.263888888888889,0.460539907302313,3.21127662839752,0.877943295064186
"gaussian_phi050_N512","gaussian_phi050_N512_M8_Q64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",512,8,64,4,440604493,3,4,1.33333333333333,2.501953125,2.9921875,0.836161879895561,5.33333333333333,0.989583333333333,0.9765625,0.166666666666667,0.0234375,0.190104166666667,0.299666025886602,5.94588022725011,0.612546893916779
"gaussian_phi050_N512","gaussian_phi050_N512_M64_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",512,64,8,11,440604493,3,4,1.33333333333333,2.9375,2.9921875,0.981723237597911,89.3333333333333,0.825520833333333,0.8125,0.0208333333333333,0.1875,0.208333333333333,0.299666025886602,89.8702424858033,0.536909152469974
"gaussian_phi050_N1000","gaussian_phi050_N1000_M10_Q100","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",1000,10,100,5,928605957,3,4,1.33333333333333,2.600390625,2.996,0.867954147196262,8.33333333333333,0.991666666666667,0.985,0.133333333333333,0.015,0.148333333333333,0.214560113970883,8.80802211099166,0.474688777658329
