"scenario_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","seed"
"gaussian_phi050_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",64,2140086795
"gaussian_phi050_N125","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",125,53603332
"gaussian_phi050_N216","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",216,144603605
"gaussian_phi050_N512","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",512,440604493
"gaussian_phi050_N1000","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",1000,928605957
"gaussian_phi050_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,1877131599
"gaussian_phi050_N8000","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",8000,1486176019
"gaussian_phi050_N243","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",243,171603686
"gaussian_phi050_N1024","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",1024,952606029
"gaussian_phi050_N3125","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",3125,906128686
"gaussian_phi050_N7776","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",7776,1262175347
"gaussian_phi050_N100","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",100,28603257
"gaussian_phi050_N225","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",225,153603632
"gaussian_phi050_N400","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",400,328604157
"gaussian_phi050_N8100","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",8100,1586176319
"gaussian_phi050_N343","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",343,271603986
"gaussian_phi050_N19683","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",19683,284309192
"gaussian_phi020_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.2",64,2110065795
"gaussian_phi020_N100","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.2",100,2146065903
"gaussian_phi020_N225","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.2",225,123582632
"gaussian_phi020_N400","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.2",400,298583157
"gaussian_phi020_N1024","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.2",1024,922585029
"gaussian_phi020_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.2",4096,1847110599
"gaussian_phi020_N8100","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.2",8100,1556155319
"gaussian_phi080_N64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.8",64,22624149
"gaussian_phi080_N100","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.8",100,58624257
"gaussian_phi080_N225","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.8",225,183624632
"gaussian_phi080_N400","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.8",400,358625157
"gaussian_phi080_N1024","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.8",1024,982627029
"gaussian_phi080_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.8",4096,1907152599
"gaussian_phi080_N8100","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.8",8100,1616197319
"laplace_phi050_N64","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.5,"phi = 0.5",64,2140086896
"laplace_phi050_N400","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.5,"phi = 0.5",400,328604258
"laplace_phi050_N1024","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.5,"phi = 0.5",1024,952606130
"laplace_phi050_N100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.5,"phi = 0.5",100,28603358
"laplace_phi050_N225","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.5,"phi = 0.5",225,153603733
"laplace_phi080_N64","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.8,"phi = 0.8",64,22624250
"laplace_phi080_N100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.8,"phi = 0.8",100,58624358
"laplace_phi080_N225","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.8,"phi = 0.8",225,183624733
"laplace_phi080_N400","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.8,"phi = 0.8",400,358625258
"laplace_phi080_N1024","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.8,"phi = 0.8",1024,982627130
"laplace_phi080_N4096","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.8,"phi = 0.8",4096,1907152700
"laplace_phi080_N8100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.8,"phi = 0.8",8100,1616197420
"laplace_phi020_N4096","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",4096,1847110700
"laplace_phi050_N4096","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,1877131700
"laplace_phi050_N8100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.5,"phi = 0.5",8100,1586176420
"laplace_phi020_N64","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",64,2110065896
"laplace_phi020_N100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",100,2146066004
"laplace_phi020_N225","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",225,123582733
"laplace_phi020_N400","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",400,298583258
"laplace_phi020_N1024","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",1024,922585130
"laplace_phi020_N8100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",8100,1556155420
"centered_gamma4_phi020_N100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",100,2146066105
"centered_gamma4_phi020_N225","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",225,123582834
"centered_gamma4_phi020_N400","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",400,298583359
"centered_gamma4_phi020_N64","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",64,2110065997
"centered_gamma4_phi050_N225","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",225,153603834
"centered_gamma4_phi050_N400","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",400,328604359
"centered_gamma4_phi050_N1024","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",1024,952606231
"centered_gamma4_phi050_N4096","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,1877131801
"centered_gamma4_phi050_N8100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",8100,1586176521
"centered_gamma4_phi080_N64","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",64,22624351
"centered_gamma4_phi080_N100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",100,58624459
"centered_gamma4_phi080_N225","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",225,183624834
"centered_gamma4_phi020_N1024","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",1024,922585231
